NAME,G,M,A,C
J130850.11-004902.3_g.fits,-0.601603042484,-2.45972028202,0.25959299899,0.393938
J034240.10-062254.6_g.fits,-0.698009172116,-2.21267299727,0.209850750125,0.417849
J033733.38-063113.6_g.fits,-0.686047937103,-2.58962847122,0.19775095834,0.484454
J010709.16-003718.1_g.fits,-0.557023704941,-2.63643184845,0.13659728671,0.462956
J133305.34-010208.9_g.fits,-0.646497883058,-2.66049395778,0.162032072225,0.458551
J085618.72-002629.4_g.fits,-0.709453240564,-2.48198395175,0.134192003953,0.428519
J012529.13-000326.3_g.fits,-0.723871401971,-2.40023226758,0.157028573888,0.489205
J135314.12+002650.2_g.fits,-0.718722723282,-2.4493128079,0.182679027484,0.418929
J130850.11-004902.3_g.fits,-0.601603042484,-2.45972028202,0.259497380949,0.393938
J034240.10-062254.6_g.fits,-0.697997944583,-2.21268034006,0.209760915728,0.417849
J121326.84-000548.1_g.fits,-0.664082058627,-2.14341254614,0.372656609355,0.274046
J113148.60+005147.7_g.fits,-0.722468221663,-2.11602491903,0.381253178877,0.183328
J110338.36-005208.4_g.fits,-0.709236661362,-1.42359619043,0.152948554544,0.110266
J024440.65-090735.5_g.fits,-0.705833715492,-2.2150296343,0.174399857493,0.418084
J001947.33+003526.9_g.fits,-0.731259978433,-2.60876928045,0.176400703181,0.520457
J171934.81+563748.1_g.fits,-0.710129177156,-2.60125286452,0.258736630771,0.539346
J132505.37-005411.2_g.fits,-0.71491917206,-2.44948401525,0.211463142759,0.468221
J023310.79-074813.4_g.fits,-0.705199455279,-2.22948314486,0.284056676354,0.385489
J111835.82+002511.2_g.fits,-0.760898559003,-2.56691294516,0.30893906921,0.611654
J172717.39+582907.7_g.fits,-0.657035571027,-2.5618028349,0.414449893024,0.297872
J034545.16-071526.9_g.fits,-0.669598719465,-2.44044119384,0.288982888699,0.369731
J094511.97-000712.1_g.fits,-0.671146045647,-2.11343437044,0.49433541644,0.252363
J023310.79-074813.4_g.fits,-0.70554155863,-2.22882517346,0.284227255225,0.385489
J111835.82+002511.2_g.fits,-0.760795843523,-2.56712064338,0.308990747222,0.611654
J005940.11+151951.5_g.fits,-0.705327247207,-2.58364629696,0.242619078779,0.455694
J034545.16-071526.9_g.fits,-0.669626119326,-2.44041520923,0.289535616115,0.369731
J082403.67+515415.7_g.fits,-0.694302916709,-2.21683623781,0.308130922884,0.252281
J023310.79-074813.4_g.fits,-0.705584206004,-2.22888389926,0.283687036306,0.385489
J111835.82+002511.2_g.fits,-0.760924335525,-2.56685530582,0.308860835347,0.611654
J082403.67+515415.7_g.fits,-0.694302916709,-2.21683623781,0.308130922884,0.252281
J111835.82+002511.2_g.fits,-0.760857912341,-2.56699867165,0.308522013774,0.611654
J141026.83-004956.6_g.fits,-0.756907479713,-2.44434625971,0.292860519523,0.533125
J030801.40-005325.8_g.fits,-0.737102711173,-2.34411258134,0.232126231527,0.493265
J150759.30+011354.3_g.fits,-0.712234730042,-2.13046558088,0.178931967098,0.37208
J011905.14+003745.0_g.fits,-0.630224945447,-2.73411976457,0.464984489503,0.345866
J030632.00-062521.2_g.fits,-0.681397571651,-2.00754396821,0.272430095597,0.119795
J110617.71-004542.2_g.fits,-0.754164352888,-1.98079139576,0.371592069263,0.137806
J085214.30+525323.9_g.fits,-0.678186399906,-1.46996270733,0.239592126777,0.202072
J173752.68+540339.5_g.fits,-0.688865251788,-1.97113423987,0.196704414185,0.268007
J003735.81+001650.5_g.fits,-0.740004647082,-2.63853113397,0.164734875818,0.536533
J085015.01+534032.0_g.fits,-0.728711599328,-2.55952379773,0.406779960151,0.39291
J110338.36-005208.4_g.fits,-0.709236661362,-1.42359619043,0.152948554544,0.110266
J034330.26-073507.4_g.fits,-0.715920775461,-2.04311403059,0.338919172589,0.251453
J172837.52+570842.2_g.fits,-0.739300932832,-2.16658684548,0.766060866554,0.391266
J131408.61-002628.0_g.fits,-0.648391962461,-1.59804382506,0.141792784112,0.201268
J133853.41+004519.4_g.fits,-0.722052474922,-2.2932631604,0.186871275975,0.343187
J080248.17+450204.4_g.fits,-0.71562483941,-2.03912995208,0.240135472165,0.304595
J031100.77-082528.3_g.fits,-0.700728261047,-2.46993783026,0.297430551101,0.380952
J080248.17+450204.4_g.fits,-0.71562483941,-2.03912995208,0.240020184899,0.304595
J031100.77-082528.3_g.fits,-0.700728261047,-2.46993783026,0.297558019344,0.380952
J100008.40+005905.3_g.fits,-0.762720979819,-2.39168864752,0.320637706479,0.472611
J171459.27+644825.1_g.fits,-0.712365420087,-2.01944704055,0.297169886802,0.308147
J021404.40+131156.3_g.fits,-0.699931656787,-2.08887759666,0.218694078835,0.227098
J075438.46+423238.8_g.fits,-0.745119728871,-2.14514651887,0.19782581667,0.436998
J172837.52+570842.2_g.fits,-0.741411518819,-2.16443004134,0.766740698347,0.391266
J015650.69+145224.2_g.fits,-0.646383892841,-2.39538910513,0.287628839421,0.340717
J023310.79-074813.4_g.fits,-0.705529330784,-2.22889450493,0.283679317413,0.385489
J113209.24-005633.4_g.fits,-0.690858577235,-2.49289855677,0.355564345096,0.447797
J012801.39+131914.1_g.fits,-0.677093321607,-2.27970489555,0.251697209176,0.348289
J113209.24-005633.4_g.fits,-0.690858577235,-2.49289855677,0.355401634887,0.447797
J112757.53-011240.2_g.fits,-0.663070250947,-2.31946242192,0.464141698161,0.329964
J015612.53+145423.9_g.fits,-0.705802076939,-2.72508728348,0.239932783306,0.430159
J003843.06+003451.7_g.fits,-0.686673797881,-1.69786905392,0.169041406082,0.253778
J080248.17+450204.4_g.fits,-0.71562483941,-2.03912995208,0.24024323051,0.304595
J131226.68-022724.5_g.fits,-0.707554123271,-2.14852979915,0.285937956839,0.341824
J125027.42+001345.6_g.fits,-0.76233598312,-2.60530572703,0.411929456784,0.381614
J150759.30+011354.3_g.fits,-0.712136329809,-2.13062783513,0.179115846153,0.37208
J002537.70+000212.2_g.fits,-0.716982810982,-2.59795743298,0.217378007476,0.492212
J012012.10+143340.6_g.fits,-0.540988418133,-2.41213924063,0.353522552894,0.366881
J080248.17+450204.4_g.fits,-0.71562483941,-2.03912995208,0.240455816347,0.304595
J101806.67+000559.8_g.fits,-0.680591944864,-2.41255288267,0.293475260906,0.394269
J031100.77-082528.3_g.fits,-0.700728261047,-2.46993783026,0.297202660494,0.380952
J163215.40-000259.7_g.fits,-0.710094358187,-2.33738455901,0.322194492157,0.347085
J010957.04-004212.7_g.fits,-0.775097489461,-2.36362316392,0.365503133379,0.506592
J003735.81+001650.5_g.fits,-0.740054901793,-2.63845312551,0.164883622648,0.536533
J084805.78+542616.1_g.fits,-0.638049693307,-2.24144270089,0.205800201781,0.300453
J114840.43-001710.3_g.fits,-0.676935938753,-2.5726870156,0.406700465342,0.423791
J023310.79-074813.4_g.fits,-0.705210772575,-2.22951549613,0.283962016543,0.385489
J010716.63-003837.3_g.fits,-0.722182113072,-2.08758047689,0.260118915963,0.304612
J142410.99-004044.1_g.fits,-0.640958935716,-2.0068179226,0.232423863399,0.21315
J081455.56+503945.6_g.fits,-0.73632463104,-1.86918725514,0.265330280547,0.219437
J015650.69+145224.2_g.fits,-0.646358167564,-2.39535803313,0.287461362123,0.340717
J022938.59+002313.7_g.fits,-0.732558258526,-1.85150263577,0.143875045234,0.36435
J083904.17+502645.8_g.fits,-0.689747399111,-2.30475938905,0.221019709321,0.401206
J160933.75-002510.8_g.fits,-0.690364475016,-2.02608405755,0.518393762057,0.204527
J022243.58-084308.3_g.fits,-0.717985322862,-2.15096973994,0.16737922989,0.408792
J010239.14-005243.5_g.fits,-0.717936036967,-2.15374742585,0.379385131916,0.292514
J112426.14-002537.5_g.fits,-0.748896473062,-2.0192162442,0.35455833405,0.312473
J083614.89+521209.1_g.fits,-0.702459543727,-2.06567138723,0.329655545768,0.291249
J112757.53-011240.2_g.fits,-0.663085161938,-2.31948336559,0.463872626722,0.329964
J084805.78+542616.1_g.fits,-0.638049693307,-2.24144270089,0.205800201781,0.300453
J010716.63-003837.3_g.fits,-0.722182113072,-2.08758047689,0.259134441874,0.304612
J024222.87-011009.1_g.fits,-0.815704145094,-2.22693454158,0.483467361682,0.35437
J010606.93+002025.2_g.fits,-0.752794932402,-1.95508763682,0.198022707667,0.273677
J022243.58-084308.3_g.fits,-0.717985322862,-2.15096973994,0.16737922989,0.408792
J035212.58-062056.2_g.fits,-0.622316045835,-2.55355416596,0.255364943461,0.46091
J092902.44+582100.7_g.fits,-0.680365673348,-2.24999319533,0.355318649583,0.168198
J022243.58-084308.3_g.fits,-0.717985322862,-2.15096973994,0.16737922989,0.408792
J012839.88+144553.8_g.fits,-0.723816455032,-1.91593919742,0.704113980364,0.182891
J005342.65-010506.6_g.fits,-0.597762563337,-2.03910684764,0.569056959625,0.297531
J034226.85-003458.3_g.fits,-0.725767284951,-1.80209962724,0.188185481718,0.334324
J034330.26-073507.4_g.fits,-0.715920775461,-2.04311403059,0.338919172589,0.251453
J020012.57-003335.6_g.fits,-0.740667511666,-2.04736083654,0.322755565522,0.202138
J031100.77-082528.3_g.fits,-0.700728261047,-2.46993783026,0.297576064936,0.380952
J163215.40-000259.7_g.fits,-0.710094358187,-2.33738455901,0.322479279066,0.347085
J150759.30+011354.3_g.fits,-0.712283380438,-2.13037594084,0.178982120003,0.37208
J005256.01+154707.9_g.fits,-0.684836869741,-1.62741259732,0.60324539894,0.09384
J021405.91-001637.0_g.fits,-0.754012666322,-2.03261430442,0.131844514681,0.385364
J080248.17+450204.4_g.fits,-0.71562483941,-2.03912995208,0.240579395614,0.304595
J010239.14-005243.5_g.fits,-0.717936036967,-2.15374742585,0.380133762012,0.292514
J001529.74+003823.2_g.fits,-0.664646006422,-2.19118432531,0.132471799066,0.331321
J130549.53-033825.3_g.fits,-0.648916765752,-2.1859506286,0.228898926682,0.261593
J163215.40-000259.7_g.fits,-0.710094358187,-2.33738455901,0.322322887282,0.347085
J012839.88+144553.8_g.fits,-0.724256453024,-1.91598287537,0.703728792526,0.171381
J141259.24+005516.3_g.fits,-0.701909123431,-2.2388151791,0.358454234176,0.298459
J130549.53-033825.3_g.fits,-0.648916765752,-2.1859506286,0.228898926682,0.261593
J084805.78+542616.1_g.fits,-0.638049693307,-2.24144270089,0.205800201781,0.300453
J032541.69-001117.2_g.fits,-0.7396626336,-2.18620580146,0.372455738752,0.391964
J125027.42+001345.6_g.fits,-0.764406290974,-2.60305721769,0.415523277341,0.381614
J012839.88+144553.8_g.fits,-0.726619979239,-1.91234120199,0.705894196263,0.182891
J012839.88+144553.8_g.fits,-0.723969226654,-1.91360620796,0.704547004721,0.182891
J005342.65-010506.6_g.fits,-0.598160589957,-2.03850989204,0.569405977346,0.297531
J105408.24+002139.7_g.fits,-0.739481337171,-2.22090608219,0.29451445075,0.323702
J023436.21-002451.7_g.fits,-0.7219141234,-2.14207368101,0.326966867362,0.333373
J005059.24-003129.2_g.fits,-0.739560682208,-1.90890480269,0.343010374051,0.397914
J010606.93+002025.2_g.fits,-0.752794932402,-1.95508763682,0.197969498152,0.273677
J112426.14-002537.5_g.fits,-0.748896473062,-2.0192162442,0.35455833405,0.312473
J141259.24+005516.3_g.fits,-0.702237854366,-2.23764216754,0.355958617964,0.298459
J083614.89+521209.1_g.fits,-0.702459543727,-2.06567138723,0.330115426745,0.291249
J024024.87-085934.0_g.fits,-0.685776276585,-2.4050131392,0.329619095007,0.214559
J105408.24+002139.7_g.fits,-0.740315718423,-2.21980440628,0.294064747138,0.323702
J023436.21-002451.7_g.fits,-0.7219141234,-2.14207368101,0.326707182602,0.333373
J010211.33+143021.8_g.fits,-0.835917026987,-2.21458430717,0.434348329065,0.202075
J163705.21-002224.1_g.fits,-0.749014693287,-2.3900456888,0.587293136802,0.127144
J142818.40+010746.5_g.fits,-0.653525384944,-1.8681670894,0.393333960177,0.173079
J002930.15+152325.8_g.fits,-0.695308154601,-1.91152893411,0.274350210658,0.187829
J161354.27-003654.2_g.fits,-0.650927201298,-2.12037422234,0.318728770589,0.210191
J003843.06+003451.7_g.fits,-0.686673797881,-1.69786905392,0.169041406082,0.253778
J083816.15+524459.4_g.fits,-0.660059812486,-2.22758254673,0.337105037372,0.270438
J161243.06+002247.9_g.fits,-0.822312795807,-2.52518434348,0.769416257428,0.21517
J003937.83-001943.6_g.fits,-0.750487727286,-2.18777749094,0.375950320332,0.281332
J032541.69-001117.2_g.fits,-0.7396626336,-2.18620580146,0.371787307012,0.391964
J151204.94+000116.7_g.fits,-0.746882209283,-2.17529764249,0.4368666522,0.150214
J084747.97+003913.4_g.fits,-0.670653634256,-2.3095501891,0.37107006923,0.324071
J142410.99-004044.1_g.fits,-0.640958935716,-2.0068179226,0.232068215299,0.21315
J152026.08+011132.4_g.fits,-0.71748001128,-2.27938680465,0.286055372997,0.376486
J112426.14-002537.5_g.fits,-0.748896473062,-2.0192162442,0.35455833405,0.312473
J083614.89+521209.1_g.fits,-0.702459543727,-2.06567138723,0.329521161848,0.291249
J141259.24+005516.3_g.fits,-0.702635258823,-2.23738246922,0.35642460181,0.298459
J105408.24+002139.7_g.fits,-0.741510147599,-2.2189566712,0.294840716608,0.323702
J010211.33+143021.8_g.fits,-0.837325269269,-2.21440676732,0.437207096539,0.202075
J083835.82+531354.8_g.fits,-0.670000189417,-1.93480510655,0.235313778269,0.17188
J083139.08+524205.6_g.fits,-0.728340925611,-2.40213055569,0.429632788685,0.268806
J130549.53-033825.3_g.fits,-0.648916765752,-2.1859506286,0.228898926682,0.261593
J161732.15-001701.6_g.fits,-0.753236991906,-2.02760538865,0.360063368401,0.274241
J010957.04-004212.7_g.fits,-0.776410724059,-2.3609158276,0.366239275205,0.506592
J080551.11+442000.6_g.fits,-0.680915329515,-1.92942745631,0.265921460202,0.208125
J151945.25+005245.4_g.fits,-0.706146179907,-1.64378559489,0.288565555336,0.186361
J174129.46+551430.7_g.fits,-0.662774941961,-2.11901100287,0.205754116691,0.222416
J085834.75+530700.9_g.fits,-0.683634285247,-2.33758189455,0.301810345405,0.315858
J010716.63-003837.3_g.fits,-0.722182113072,-2.08758047689,0.259669253003,0.304612
J231143.74-001529.1_g.fits,-0.722908418501,-2.01766198869,0.121872572455,0.349166
J032002.72-004418.3_g.fits,-0.750652500827,-1.96834840158,0.423067724245,0.177647
J130549.53-033825.3_g.fits,-0.648916765752,-2.1859506286,0.228898926682,0.261593
J084747.71-002251.4_g.fits,-0.7119223446,-2.2279145504,0.402592253839,0.311127
J005204.21+000535.7_g.fits,-0.726873792489,-2.31255654378,0.16902539431,0.425039
J083139.08+524205.6_g.fits,-0.720928619447,-2.41539947344,0.431170371895,0.268806
J174221.56+552921.0_g.fits,-0.707344992762,-2.26542192681,0.269490700961,0.39825
J081205.07+441836.1_g.fits,-0.721563683964,-2.06362900093,0.313833451937,0.359384
J101600.62-000645.7_g.fits,-0.749200709032,-2.21863327735,0.488231130217,0.395144
J103217.32-001945.6_g.fits,-0.653837820533,-2.12401027773,0.236214212854,0.226327
J022243.58-084308.3_g.fits,-0.717985322862,-2.15096973994,0.16737922989,0.408792
J085834.75+530700.9_g.fits,-0.683634285247,-2.33758189455,0.301810345405,0.315858
J032541.69-001117.2_g.fits,-0.7396626336,-2.18620580146,0.372069069078,0.391964
J083814.87+525924.2_g.fits,-0.703370526671,-2.01287841396,0.389371157653,0.163643
J161354.27-003654.2_g.fits,-0.650927201298,-2.12037422234,0.318728770589,0.210191
J034226.85-003458.3_g.fits,-0.725767284951,-1.80209962724,0.188185481718,0.334324
J083614.89+521209.1_g.fits,-0.702459543727,-2.06567138723,0.329532788156,0.291249
J112426.14-002537.5_g.fits,-0.748896473062,-2.0192162442,0.35455833405,0.312473
J083814.87+525924.2_g.fits,-0.703370526671,-2.01287841396,0.389371157653,0.163643
J231143.74-001529.1_g.fits,-0.722908418501,-2.01766198869,0.121872572455,0.349166
J020748.73+133634.5_g.fits,-0.687307947491,-2.35060846978,0.402191360823,0.329609
J090850.68+552244.8_g.fits,-0.769408519515,-2.29979784358,0.380003748314,0.244922
J083814.87+525924.2_g.fits,-0.703370526671,-2.01287841396,0.389371157653,0.163643
J173801.52+561325.8_g.fits,-0.790747377346,-2.29123427105,0.462626145645,0.306578
J023436.21-002451.7_g.fits,-0.7219141234,-2.14207368101,0.326979176471,0.333373
J004404.34+000238.6_g.fits,-0.726957901991,-2.04664725123,0.313775033198,0.188446
J161732.15-001701.6_g.fits,-0.753236991906,-2.02760538865,0.360557120677,0.274241
J112426.14-002537.5_g.fits,-0.748896473062,-2.0192162442,0.35455833405,0.312473
J034226.85-003458.3_g.fits,-0.725767284951,-1.80209962724,0.188185481718,0.334324
J080551.11+442000.6_g.fits,-0.680915329515,-1.92942745631,0.265921460202,0.208125
J161732.15-001701.6_g.fits,-0.753236991906,-2.02760538865,0.360089842638,0.274241
J091640.46+564620.1_g.fits,-0.681110099024,-1.43815119221,0.645658816533,0.0232564
J011725.36-002024.9_g.fits,-0.723704333377,-2.40796068718,0.308408655616,0.402407
J083129.28+483733.7_g.fits,-0.654727185065,-2.53930566306,0.407474148036,0.350642
J003937.83-001943.6_g.fits,-0.752115515518,-2.18681541286,0.374945681962,0.281332
J011725.36-002024.9_g.fits,-0.723704333377,-2.40796068718,0.308600959543,0.402407
J024024.87-085934.0_g.fits,-0.685759166592,-2.40501727573,0.329016615361,0.214559
J094302.34-004850.0_g.fits,-0.782129660153,-2.16943331193,0.410174994308,0.383012
J124625.85-014745.5_g.fits,-0.690540094842,-1.80816488299,0.317822984571,0.144635
J152637.67+003533.5_g.fits,-0.721402372125,-2.24654487697,0.305773019321,0.323418
J020925.08+002357.8_g.fits,-0.766875554394,-2.23903871953,0.189931792415,0.37334
J040410.92-053809.0_g.fits,-0.650568590509,-2.01269499357,0.455224256293,0.0322685
J035946.79-064202.9_g.fits,-0.691950515367,-1.92238745214,0.403205600697,0.0310861
J152026.08+011132.4_g.fits,-0.71748001128,-2.27938680465,0.286155563163,0.376486
J173801.52+561325.8_g.fits,-0.789221844863,-2.29792629163,0.462378309279,0.318857
